ring_dim, matrix_size, function, time_ms
32768,2,helib,186.423
32768,4,helib,180.839
32768,8,helib,246.814
32768,16,helib,381.226
32768,32,helib,643.695
32768,64,helib,1251.73
32768,128,helib,2977.94
32768,256,helib,4830.69
32768,512,helib,10705.4
32768,1024,helib,19992.8
65536,2,helib,308.753
65536,4,helib,368.172
65536,8,helib,455.723
65536,16,helib,670.082
65536,32,helib,1133.94
65536,64,helib,2105.77
65536,128,helib,3795.46
65536,256,helib,7360.71
65536,512,helib,16638.4
65536,1024,helib,37193.3
