ring_dim, vecSize, function, time_ms
32768,2,openfhe,449.755
32768,2,custom,507.22
32768,4,openfhe,424.872
32768,4,custom,521.849
32768,8,openfhe,416.462
32768,8,custom,608.453
32768,16,openfhe,430.122
32768,16,custom,542.062
32768,32,openfhe,431.8
32768,32,custom,544.803
32768,64,openfhe,429.056
32768,64,custom,558.387
32768,128,openfhe,428.665
32768,128,custom,556.085
32768,256,openfhe,430.949
32768,256,custom,542.148
32768,512,openfhe,432.955
32768,512,custom,539.326
32768,1024,openfhe,419.492
32768,1024,custom,518.441
65536,2,openfhe,868.893
65536,2,custom,1015.92
65536,4,openfhe,785.662
65536,4,custom,1020.04
65536,8,openfhe,793.949
65536,8,custom,979.953
65536,16,openfhe,778.963
65536,16,custom,984.489
65536,32,openfhe,788.513
65536,32,custom,981.66
65536,64,openfhe,781.793
65536,64,custom,972.401
65536,128,openfhe,807.927
65536,128,custom,980.252
65536,256,openfhe,783.896
65536,256,custom,990.378
65536,512,openfhe,783.65
65536,512,custom,982.317
65536,1024,openfhe,784.485
65536,1024,custom,984.895
